,name,spec,price
0,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_A,"Bedrooms 4, Sleeps 8, Ratings 1 10/10",£435 to £795 pw
1,Holiday let in Montferrat Provence - CV000524_A,"Bedrooms 3, Sleeps 7, Ratings 1 9.3/10",£225 to £400 pw
2,"Beautiful Perigordian house to let, Aquitaine - AD007472","Bedrooms 3, Sleeps 6",£600 to £995 pw
3,Holiday let 4km from the Vendée coast - LV004385,"Bedrooms 2, Sleeps 5, Ratings 10 9.6/10",£345 to £545 pw
4,"Holiday cottage, shared pool in Brittany - BN002739_A","Bedrooms 5, Sleeps 14, Ratings 4 9.7/10",£500 to £1000 pw
5,Holiday cottage for rental in Brittany - BI003263,"Bedrooms 2, Sleeps 4, Ratings 4 9.1/10",£465 to £595 pw
6,Holiday rental gite nr Bricquebec Manche - NM002658_A,"Bedrooms 3, Sleeps 7, Ratings 1 10/10",£750 to £895 pw
7,"Large barn to let with private pool, Dordogne - AD005635_B","Bedrooms 4, Sleeps 8",£599 to £950 pw
8,One of 7 Holiday cottages nr Chalais to rent - PC002350_A,"Bedrooms 3, Sleeps 6, Ratings 3 9.8/10",£565 to £749 pw
9,Self catering holiday cottage in Brittany - BI003960_B,"Bedrooms 1, Sleeps 3",£400 pw
10,"Holiday gites with pool for rental, Dordogne - AD000161_J","Bedrooms 2, Sleeps 6",£430 to £940 pw
11,"Holiday home rental near Saumur, Loire Valley - VI001447","Bedrooms 4, Sleeps 8, Ratings 1 9.5/10",£595 to £650 pw
12,Holiday cottage in Brittany with shared pool - BM006792,"Bedrooms 2, Sleeps 5",£340 pw
13,"Large holiday let - pool & Jacuzzi, Aquitaine - AT005396","Bedrooms 6, Sleeps 14, Ratings 2 10/10",£1205 pw
14,Quiet gite in rural location in Serigny - PV004804,"Bedrooms 2, Sleeps 4, Ratings 2 7.9/10",£600 pw
15,Holiday Gites to let in rural Brittany - BM006042,"Bedrooms 2, Sleeps 5, Ratings 7 10/10",£525 to £700 pw
16,Holiday cottage with large pool near Matha - PM006272,"Bedrooms 2, Sleeps 4",£295 to £395 pw
17,"Holiday cottage, beach 650m, South Brittany - BF003723","Bedrooms 3, Sleeps 6",£320 to £750 pw
18,Large holiday house & pool in rural Dordogne - AD005715,"Bedrooms 4, Sleeps 8, Ratings 8 9.7/10",£1400 to £2200 pw
19,"Farmhouse let, private pool, South Vendée - LV003818","Bedrooms 3, Sleeps 6, Ratings 8 9.8/10",£1650 pw
20,"Converted Barn for holiday lets, Loire Valley - VE006744_B","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£800 to £1500 pw
21,Holiday cottage let nr Chateaubriant - LA002630,"Bedrooms 2, Sleeps 5, Ratings 3 10/10",£350 to £525 pw
22,Lovely house to let near lake in Burgundy - GC007623,"Bedrooms 5, Sleeps 10",£1150 to £1600 pw
23,"Family holiday home to let, Erquy - BN002976","Bedrooms 3, Sleeps 7, Ratings 2 10/10",£525 pw
24,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_B,"Bedrooms 4, Sleeps 8",£395 to £745 pw
25,Holiday cottage with pool to let near Gemozac - PM002756_D,"Bedrooms 11, Sleeps 30",£650 to £1360 pw
26,Large gite to let on complex in Charente - PC006033_B,"Bedrooms 14, Sleeps 30",£560 to £1232 pw
27,"Holiday Cottage to let with pool, Mayenne - LM006760_B","Bedrooms 1, Sleeps 3",€490 to €560 pw
28,Holiday cottage in rural Aquitaine with pool - AD005091,"Bedrooms 2, Sleeps 4, Ratings 1 9.7/10",£800 pw
29,Lovely gite to let with a pool in Charante - PC007667,"Bedrooms 3, Sleeps 6",£630 to £1695 pw
30,"Delightful cottage to let, Charente Maritime - PM005416","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£665 pw
31,Self catering rental with pool nr Descartes - VI004142,"Bedrooms 4, Sleeps 10, Ratings 8 9.8/10",£734 to £1434 pw
32,Lovely converted barn with pool in Charente - PC006897,"Bedrooms 5, Sleeps 10",£850 to £1950 pw
33,Spacious gite to let in Limousin with pool - UH004192,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£575 to £925 pw
34,"3 Bed holiday gite, private pool, Aquitaine - AT007630","Bedrooms 3, Sleeps 6",£530 to £855 pw
35,"Holiday cottage with private pool, Minzac - AD005635_C","Bedrooms 4, Sleeps 8",£599 to £950 pw
36,Superior holiday gite shared pool in Brittany - BM002684_C,"Bedrooms 8, Sleeps 16",£2795 to £4850 pw
37,"House to let, private pool, rural Charente - PC007247","Bedrooms 3, Sleeps 6, Ratings 1 8.5/10",£770 to £1211 pw
38,Self catering cottage rental nr Saumur - LL004095,"Bedrooms 2, Sleeps 4, Ratings 3 9.6/10",£395 to £520 pw
39,"House & gite to let with pool, Aquitaine - AD007678","Bedrooms 5, Sleeps 10",£2250 to £2950 pw
40,"Large holiday let with pool, rural Aquitaine - AL005098","Bedrooms 4, Sleeps 8",€895 pw
41,Holiday cottage & pool Brittany - BF000872_C,"Bedrooms 3, Sleeps 7",£419 to £875 pw
42,Cottage to let in small Vendee village - LV004590,"Bedrooms 2, Sleeps 4",£300 to £350 pw
43,Gite in Limousin for holiday rental - US004409,"Bedrooms 1, Sleeps 2, Ratings 2 10/10",£335 pw
44,Family gite accommodation nr St Jean-d'Angély - PM002197_E,"Bedrooms 3, Sleeps 6",£445 to £975 pw
45,"Stunning Rural Gite in Normandy, Orne - NO003444_C","Bedrooms 4, Sleeps 11, Ratings 1 10/10",£1017 to £1600 pw
46,Spacious holiday gite on complex in Brittany - BM006841,"Bedrooms 3, Sleeps 7",£560 to £995 pw
47,South Brittany holiday let with private pool - LA003863,"Bedrooms 7, Sleeps 12, Ratings 8 9.7/10",£2200 to £2950 pw
48,"Large holiday cottage with pool, Dordogne - AD004314","Bedrooms 4, Sleeps 10",£920 to £1220 pw
49,Holiday cottage in Limousin - UH006521,"Bedrooms 3, Sleeps 8, Ratings 2 10/10",£975 to £1075 pw
50,"3 gites with large garden and 2 pools, Loire - LA006586","Bedrooms 10, Sleeps 20",£2018 to £2890 pw
51,Renovated 3 Bed Barn to let in Gavray - NM004348,"Bedrooms 3, Sleeps 6, Ratings 8 9.9/10",£509 to £990 pw
52,Lovely gite with private terrace in Vienne - PV006822,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£455 pw
53,Large holiday gite with pool in Charente - PC004341,"Bedrooms 5, Sleeps 12, Ratings 3 9.8/10",£850 to £2795 pw
54,Large holiday cottage in rural Aquitaine - AT005038_A,"Bedrooms 3, Sleeps 8",€995 to €1995 pw
55,"Rural cottage and private pool, Loire Valley - VE006294","Bedrooms 1, Sleeps 2, Ratings 1 10/10",£495 to £695 pw
56,Holiday gite for let in Brittany - BM005177_D,"Bedrooms 4, Sleeps 8, Ratings 8 9.7/10",£800 to £1400 pw
57,Cottage in rural Vendee for rental with pool - LV005728,"Bedrooms 3, Sleeps 5, Ratings 4 10/10",£535 pw
58,Lovely gite for 2 for holidays near Cognac - PC006969,"Bedrooms 1, Sleeps 2, Ratings 1 10/10",£560 pw
59,"Holiday complex, pool and bar near Lamballe - BN002848_J","Bedrooms 2, Sleeps 4",€800 pw
60,"Holiday Cottage for 2 to let Locarn, Brittany - BN006373","Bedrooms 1, Sleeps 2, Ratings 1 10/10",£434 pw
61,"Beautiful farmhouse to let, Indre et Loire - VI005495","Bedrooms 4, Sleeps 7, Ratings 10 10/10",£950 pw
62,Holiday gite for 6 in Normandy village - NM006363,"Bedrooms 3, Sleeps 6",£385 to £500 pw
63,Holiday cottage and pool to rent Brittany - BM002351_D,"Bedrooms 3, Sleeps 6, Ratings 3 10/10",£510 to £715 pw
64,Spacious farmhouse holiday rental in Normandy - NM004258,"Bedrooms 6, Sleeps 12, Ratings 2 10/10",£1600 pw
65,Holiday cottage to rent in Bannalec - BF001457_A,"Bedrooms 3, Sleeps 6",£265 to £375 pw
66,Couples gite to let for holidays in Serigny - PV005854,"Bedrooms 1, Sleeps 2, Ratings 1 10/10",£406 pw
67,"Holiday complex, pool and bar near Lamballe - BN002848_C","Bedrooms 3, Sleeps 6",€1300 to €2200 pw
68,Holiday gite in Limousin - UH005788,"Bedrooms 4, Sleeps 8",£945 to £1365 pw
69,"Farmhouse, all year heated pool, Deux Sevres - PS006715","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£700 to £1250 pw
70,Beautiful Village House to Let in Migron - PM003681_A,"Bedrooms 4, Sleeps 8, Ratings 6 9.3/10",£425 to £1425 pw
71,Cottage to let in Aquitaine with lake - AT004390,"Bedrooms 2, Sleeps 5",£695 to £825 pw
72,Converted watermill to let near Toulouse - MO007025,"Bedrooms 4, Sleeps 9",£850 to £950 pw
73,"Holiday gite complex, shared pool, Brittany - BN006697_A","Bedrooms 4, Sleeps 7",£485 to £850 pw
74,"Large holiday gite with pool, rural Aquitaine - AT005799","Bedrooms 3, Sleeps 6",£845 pw
75,Gite for holiday rental Manche - NM003331_A,"Bedrooms 4, Sleeps 13, Ratings 27 9.7/10",£395 to £645 pw
76,"Holiday rural gite, shared pool, near Gomene - BN004658","Bedrooms 3, Sleeps 7",£700 to £1015 pw
77,Property for holiday rental in Midi Pyrenees - MA004120,"Bedrooms 2, Sleeps 7",£550 to £750 pw
78,Cosy Barn to let with pool in Nord de Calais - DP007107,"Bedrooms 1, Sleeps 2",£434 pw
79,"Cottage to let in Brittany, Quistinic 5km - BM003431_C","Bedrooms 1, Sleeps 2, Ratings 9 9.8/10",£360 to £450 pw
80,Spacious luxury gite let nr to Vendee beaches - LV004472_C,"Bedrooms 3, Sleeps 8",£995 to £1495 pw
81,Holiday let with pool in rural Western Loire - LL005072_A,"Bedrooms 13, Sleeps 31, Ratings 2 9.7/10",€495 to €1165 pw
82,"Rural farmhouse in Normandy, Manche - NM003492","Bedrooms 5, Sleeps 14",£1600 pw
83,Beautiful house and pool to let in Gournay - PS005292,"Bedrooms 4, Sleeps 8, Ratings 4 9.9/10",£1295 to £2275 pw
84,"Holiday rental house, beach 400m near Benodet - BF002426","Bedrooms 2, Sleeps 6",£420 to £655 pw
85,Gite for holiday rental Cotes d'Armor - BN003235,"Bedrooms 2, Sleeps 4, Ratings 4 10/10",£399 to £699 pw
86,Family gite to let on complex in Charente - PC006033_C,"Bedrooms 3, Sleeps 6",£840 to £924 pw
87,Gite to let in Normandy/Pays de Loire - LS005012,"Bedrooms 4, Sleeps 9",£700 pw
88,Family friendly gite for holidays near Civray - PV004809,"Bedrooms 4, Sleeps 10, Ratings 4 10/10",£649 to £1799 pw
89,Holiday cottages/apartments to let nr Benodet - BF000236_J,"Bedrooms 3, Sleeps 5",€590 pw
90,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_A,"Bedrooms 12, Sleeps 24, Ratings 1 10/10",£385 to £795 pw
91,Gite for holiday rental in Western Loire - LS004063,"Bedrooms 3, Sleeps 6",£950 pw
92,Charming cottage to let in the Charente - PC006477,"Bedrooms 2, Sleeps 4, Ratings 4 10/10",£400 to £700 pw
93,1 bedroom gite on Manor ground in Normandy - NM004907_B,"Bedrooms 1, Sleeps 2, Ratings 2 10/10",£295 to £495 pw
94,"Pet Friendly 4-star graded gite, Vienne - PV006979","Bedrooms 3, Sleeps 8, Ratings 1 10/10",£665 pw
95,Traditional stone house to let in Deux Sevres - PS007770,"Bedrooms 3, Sleeps 6",£600 pw
96,Large barn conversion gite to let in Dordogne - AD006570,"Bedrooms 4, Sleeps 12",£800 to £1200 pw
97,Holiday gite + share pool in rural Dordogne - AD005776,"Bedrooms 2, Sleeps 4",£540 to £625 pw
98,Holiday cottage nr coast and beaches Brittany - BM007369,"Bedrooms 3, Sleeps 6",£480 to £800 pw
99,"Family friendly gite to let with pool, Brux - PV007708","Bedrooms 1, Sleeps 2",£400 to £650 pw
100,Self catering gite rental Poitou Charentes - PV003754,"Bedrooms 2, Sleeps 6",£650 to £700 pw
101,Large Farmhouse for 10 to let in Loire Valley - VE006744_A,"Bedrooms 5, Sleeps 10, Ratings 1 10/10",£900 to £1700 pw
102,Holiday cottage with pool in rural Dordogne - AD005266,"Bedrooms 3, Sleeps 6, Ratings 5 9.6/10",£580 pw
103,lovely Gite to let with pool in Western Loire - LL007133,"Bedrooms 1, Sleeps 3",£539 pw
104,Lovely rural French gite to let in Madiran - MH005148,"Bedrooms 2, Sleeps 6",£550 to £1200 pw
105,Stylish 4* gite with pool in Lot et Garonne - AL006944,"Bedrooms 2, Sleeps 4, Ratings 3 10/10",£950 pw
106,Spacious Farmhouse rental in rural Normandy - NC006221,"Bedrooms 5, Sleeps 14, Ratings 2 9.8/10",£1300 to £1695 pw
107,Self catering holiday cottage 6km from Ruffec - PC003554,"Bedrooms 1, Sleeps 2, Ratings 4 9.8/10",£210 to £480 pw
108,Rural holiday gite rental near Moncoutant - PS004762,"Bedrooms 2, Sleeps 4, Ratings 1 9.5/10",£325 to £400 pw
109,Rose Cottage for rent in Mayenne - Sleeps 2 - LM003633_A,"Bedrooms 2, Sleeps 4, Ratings 9 9.6/10",£440 pw
110,Luxury self catering gites rural nr Pontrieux - BN003129_C,"Bedrooms 6, Sleeps 12",£396 to £1098 pw
111,Rural Cottage in Normandy Manche - NM003449,"Bedrooms 2, Sleeps 5, Ratings 3 8.7/10",£350 to £490 pw
112,One of 7 Holiday cottages nr Chalais to rent - PC002350_B,"Bedrooms 2, Sleeps 5, Ratings 3 7.9/10",£449 to £580 pw
113,"Family gite with pool, Charente Maritime - PM005793_B","Bedrooms 3, Sleeps 7, Ratings 2 8.8/10",£900 pw
114,"Lovely gite with shared pool, Saint Severin - PC005706","Bedrooms 3, Sleeps 6",£395 to £500 pw
115,Lovely Holiday Gite to let in Southern Vendee - LV006948,"Bedrooms 2, Sleeps 4",£380 to £410 pw
116,"Holiday cottage, heated pool, wi-fi, Brittany - BM004777","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£750 to £1650 pw
117,"Holiday gite, 2 pools, near Baud, Brittany - BM001973_C","Bedrooms 3, Sleeps 7, Ratings 4 9.2/10",£945 pw
118,Holiday gite & shared pool to let in Brittany - BN002919_A,"Bedrooms 3, Sleeps 6, Ratings 11 9/10",€685 to €1400 pw
119,Holiday cottage for rental in Brittany - BI003263,"Bedrooms 2, Sleeps 4, Ratings 4 9.1/10",£465 to £595 pw
120,Large family gite to let near Sarlat - AD006924,"Bedrooms 3, Sleeps 8",£550 pw
121,Cottage rental for holidays nr Portbail - NM002439,"Bedrooms 2, Sleeps 4",£650 pw
122,"2 Bed Gite to let with heated pool, Aquitaine - AD007225","Bedrooms 2, Sleeps 5",£1300 pw
123,"House for holiday lets, St Fraigne Charente - PC002603","Bedrooms 3, Sleeps 7, Ratings 12 9.3/10",£455 pw
124,Holiday cottage to let in rural Normandy - NM004628,"Bedrooms 2, Sleeps 4, Ratings 13 10/10",£445 to £495 pw
125,Ground floor disable friendly gite nr Limoges - UH005387,"Bedrooms 1, Sleeps 2",£630 to £800 pw
126,Holiday let & pool Loire Valley - VI004218_A,"Bedrooms 3, Sleeps 6",£595 to £795 pw
127,House with pool to let near Toulouse sleeps 8 - MT006035,"Bedrooms 4, Sleeps 8",£2100 to £2500 pw
128,"Farmhouse with private pool to let, Brittany - BM003862_B","Bedrooms 3, Sleeps 7, Ratings 3 9.9/10",£695 to £895 pw
129,Charming gite for holiday rental in Brittany - BF003918,"Bedrooms 3, Sleeps 6",€750 to €1250 pw
130,"Holiday gite with private pool, Aquitaine - AT007147","Bedrooms 3, Sleeps 6",£875 to £1310 pw
131,"Holiday cottage, shared pool to let Pont-Aven - BF002047_C","Bedrooms 3, Sleeps 6, Ratings 7 9.9/10",£425 to £1225 pw
132,"Robins Nest, Gite with Pool, Deux Sevres - PS002904_C","Bedrooms 1, Sleeps 4",£550 to £655 pw
133,16thC character Poitou home with private pool - PS003088,"Bedrooms 3, Sleeps 6",£950 to £1250 pw
134,"Holiday gite, heated shared pools in Brittany - BM003538","Bedrooms 4, Sleeps 10, Ratings 5 9.9/10",£890 pw
135,Holiday cottage to let in the Loire Valley - VI005054,"Bedrooms 2, Sleeps 4, Ratings 1 9.8/10",£489 pw
136,Three gites for holiday rental in Souvigne - PS001609_B,"Bedrooms 2, Sleeps 6",£350 pw
137,Traditional gite to let in rural Normandy - NO004980,"Bedrooms 2, Sleeps 6, Ratings 19 10/10",£300 to £550 pw
138,"Holiday let in peaceful, rural Normandy - NM004962","Bedrooms 3, Sleeps 4, Ratings 4 8.8/10",£250 to £380 pw
139,"Gite to let for 2 in Port Launay, Brittany - BF006384","Bedrooms 1, Sleeps 2, Ratings 7 9.5/10",€500 pw
140,"Property to let, private heated pool, Loire V - VE004172","Bedrooms 5, Sleeps 8, Ratings 3 9.2/10",£1175 pw
141,Holiday gite with heated pool in Loire Valley - LL007331,"Bedrooms 5, Sleeps 10, Ratings 1 9.8/10",£1250 to £2500 pw
142,"Rural farmhouse in Normandy, Manche - NM003492","Bedrooms 5, Sleeps 14",£1600 pw
143,Lovely cottage with shared pool in the Aude - RA006783,"Bedrooms 2, Sleeps 4",£696 pw
144,"Normandy Holiday Cottage Rental, Le Teilleul - NM007712","Bedrooms 7, Sleeps 18",£850 to £1500 pw
145,Rural cottage to let in Vern d'Anjou - LL001494,"Bedrooms 2, Sleeps 4, Ratings 19 9.7/10",£395 to £495 pw
146,A Cottage for family holiday rental Manche - NM003111,"Bedrooms 3, Sleeps 6",£1098 pw
147,Riverside holiday house in Le Bugue - AD004889,"Bedrooms 1, Sleeps 2, Ratings 6 9.5/10",£450 to £595 pw
148,"Cottage to let in Cotes d'Armor, Brtittany - BN007484_B","Bedrooms 5, Sleeps 10",£300 to £485 pw
149,Holiday gite to let with pool near Toulouse - MA006107,"Bedrooms 2, Sleeps 6",£730 to £860 pw
150,Spacious holiday gite shared pool near Auch - MG006558,"Bedrooms 2, Sleeps 5",£460 to £530 pw
151,Gite complex in Lussais village with pool - PS004520_B,"Bedrooms 3, Sleeps 8, Ratings 3 9.6/10",£465 to £1350 pw
152,Spacious holiday gite near the Pyrenees - AP007016,"Bedrooms 3, Sleeps 6",£1050 to £1500 pw
153,Large house to let with private pool Dordogne - AD007383,"Bedrooms 3, Sleeps 8",£600 to £650 pw
154,A Holiday cottage to rent Jugon les Lacs - BN002318,"Bedrooms 3, Sleeps 6",£500 pw
155,"Family friendly gite & pool to let, Aquitaine - AD007482","Bedrooms 4, Sleeps 8",£400 to £900 pw
156,Gite to rent for Vienne holiday Montmorillon - PV002079_A,"Bedrooms 1, Sleeps 2",£300 pw
157,"Rural Gite for 2, to let in Calvados Normandy - NC006522","Bedrooms 1, Sleeps 2",£560 pw
158,Holiday gite in Normandy near St Mere Eglise - NM006337,"Bedrooms 1, Sleeps 4, Ratings 2 10/10",£365 to £450 pw
159,Gite for holiday rental Deux Sevres - PS003202,"Bedrooms 2, Sleeps 4, Ratings 2 9.3/10",£340 to £600 pw
160,"Beautiful stone house to let for 8, Dordogne - AD007307","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£700 to £850 pw
161,Luxury Holiday Accommodation In Normandy - NC005115,"Bedrooms 2, Sleeps 5, Ratings 2 9.8/10",£1350 pw
162,Gite to rent for Vienne holiday Montmorillon - PV002079_B,"Bedrooms 2, Sleeps 4",£400 pw
163,Farmhouse for holiday rental Lot - ML003197,"Bedrooms 4, Sleeps 10, Ratings 2 9.8/10",£900 to £1800 pw
164,Holiday cottage with private pool in Dordogne - AD005635_A,"Bedrooms 2, Sleeps 4",£499 to £850 pw
165,Farmhouse and private pool to let in Gibourne - PM005333,"Bedrooms 4, Sleeps 8, Ratings 1 9.8/10",£650 to £700 pw
166,"Holiday house with shared pool, Soreze 3km - MT002148_A","Bedrooms 2, Sleeps 4",£580 pw
167,Rural watermill to let in Dordogne village - AD004466_A,"Bedrooms 3, Sleeps 6, Ratings 2 9.6/10",€808 pw
168,Character gite for holiday let Lot et Garonne - AT003736,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£380 to £595 pw
169,"Family friendly gite to let, pool, Aquitaine - AL007646","Bedrooms 2, Sleeps 4",£465 to £1300 pw
170,"Holiday Farmhouse, beaches 30 mins, nr Dinan - BN001600_A","Bedrooms 6, Sleeps 12, Ratings 2 8.8/10",£350 to £550 pw
171,Cosy holiday gite rental for 2 in Poullignac - PC007522,"Bedrooms 1, Sleeps 2",£580 to £650 pw
172,Holiday let overlooking river Creuse - VI004787,"Bedrooms 2, Sleeps 4, Ratings 4 9.6/10",£525 pw
173,Rural 3 bedroom cottage to let near Hesdin - DP005214,"Bedrooms 3, Sleeps 6, Ratings 11 9.9/10",£629 pw
174,Dog friendly holiday gite in rural Normandy - NM005929,"Bedrooms 3, Sleeps 6, Ratings 14 10/10",£535 to £650 pw
175,"Family friendly gite to let with pool, Brux - PV007709","Bedrooms 2, Sleeps 4",£475 to £825 pw
176,Family friendly gite to let Charente Maritime - PM005869,"Bedrooms 4, Sleeps 8",£600 to £1300 pw
177,Magnificent manor house to let in Deux Sevres - PS005379,"Bedrooms 5, Sleeps 16, Ratings 6 9.8/10",£1400 to £2400 pw
178,Holiday gite for 2 by watermill in Noyant - LL006376,"Bedrooms 1, Sleeps 2, Ratings 4 9.6/10",£480 to £575 pw
179,Holiday gite for rental in Brittany - BN000450_A,"Bedrooms 4, Sleeps 7",£590 pw
