,name,spec,price
540,Holiday cottage let nr Chateaubriant - LA002630,"Bedrooms 2, Sleeps 5, Ratings 3 10/10",£350 to £525 pw
541,"Spacious one bed gite & shared pool, Charente - PC006873","Bedrooms 1, Sleeps 3, Ratings 2 10/10",£420 to £545 pw
542,Family holiday home in Dordogne manor grounds - AD005310,"Bedrooms 4, Sleeps 7, Ratings 5 10/10",£791 pw
543,"Holiday house, 1 block to the sea, Cancale - BI007144","Bedrooms 3, Sleeps 8",£595 to £750 pw
544,"Holiday cottage for 2, near Albi - MT004965","Bedrooms 1, Sleeps 2, Ratings 2 9.9/10",£520 pw
545,"Luxury cottage with shared pool, Loire Valley - VI004218_E","Bedrooms 3, Sleeps 6",£595 to £795 pw
546,Self catering cottage rental nr Saumur - LL004095,"Bedrooms 2, Sleeps 4, Ratings 3 9.6/10",£395 to £520 pw
547,Lovely gite to let on complex in Charente - PC005939,"Bedrooms 2, Sleeps 5",£350 to £924 pw
548,"Holiday gite complex, shared pool, Brittany - BN006697_B","Bedrooms 3, Sleeps 5",£485 to £550 pw
549,Beautifully renovated barn to let in Charente - PC005445,"Bedrooms 6, Sleeps 14, Ratings 1 9.7/10",£750 to £2995 pw
550,"Gite in Languedoc, Aude for holiday rental - RA005530","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£1050 pw
551,"Gite for holiday let, Charente Maritime - PM003506","Bedrooms 3, Sleeps 5, Ratings 10 9.3/10",£750 to £1600 pw
552,Charming gite & private pool to let in Cazals - ML007739,"Bedrooms 2, Sleeps 4",£1495 pw
553,"Gite & pool to let in Eymet, Dordogne - AD007757","Bedrooms 1, Sleeps 2",£655 to £817 pw
554,"Large farmhouse & pool to let, Midi Pyrenees - MA007622","Bedrooms 6, Sleeps 10",£765 to £3320 pw
555,"Holiday gite in Ploerdut, Brittany - BM005945","Bedrooms 3, Sleeps 6, Ratings 5 10/10",£525 to £630 pw
556,Beautiful Gite to let in Roche en Regnier - OH005166,"Bedrooms 1, Sleeps 4, Ratings 2 10/10",£400 pw
557,"Country Cottage, heated pool, nr Vendee coast - LV005648","Bedrooms 4, Sleeps 8, Ratings 3 9.8/10",£1050 to £1750 pw
558,"Rural Gite for 2, to let in Calvados Normandy - NC006522","Bedrooms 1, Sleeps 2",£560 pw
559,"Peaceful gite and private pool to let, Vienne - PV005782","Bedrooms 4, Sleeps 8, Ratings 3 9.7/10",£800 pw
560,"Lovely farmhouse & private heated pool, Pons - PM005578","Bedrooms 2, Sleeps 4, Ratings 9 9.8/10",£795 pw
561,Holiday cottage to let in Normandy village - NC005295,"Bedrooms 4, Sleeps 7",£700 to £750 pw
562,"Barn to let - couples/single traveller, Aude - RA006990","Bedrooms 1, Sleeps 2",£550 pw
563,Stylish 4* gite with pool in Lot et Garonne - AL006944,"Bedrooms 2, Sleeps 4, Ratings 3 10/10",£950 pw
564,"Two bed gite to let, shared pool, Dordogne - AD007154","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£500 to £850 pw
565,Gite to let in rural Mayenne - fishing & pool - LM005067,"Bedrooms 5, Sleeps 10, Ratings 1 9.3/10",£1250 to £1850 pw
566,"Lovely 15thC Stone Cottage to let, Dordogne - AD007231","Bedrooms 3, Sleeps 6",£665 to £770 pw
567,Lovely cottage to let near beach in Brittany - BF005685,"Bedrooms 3, Sleeps 7, Ratings 7 9.7/10",£695 to £995 pw
568,"Holiday gite, shared pool, Ploerdut, Brittany - BM007121_C","Bedrooms 3, Sleeps 6",£420 to £890 pw
569,Gite to let in rural Normandy - NM004660,"Bedrooms 2, Sleeps 4, Ratings 11 9.8/10",£434 to £534 pw
570,"Petite Gite to let in rural Mayenne, Loire - LM005947_C","Bedrooms 1, Sleeps 2, Ratings 1 9.2/10",£375 to £580 pw
571,Farmhouse for holiday rental Lot - ML003197,"Bedrooms 4, Sleeps 10, Ratings 2 9.8/10",£900 to £1800 pw
572,"Family friendly gite to let with pool, Brux - PV007709","Bedrooms 2, Sleeps 4",£475 to £825 pw
573,Cottage for holiday let Charente Maritime - PM003417,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£756 pw
574,Pretty gite for family holiday in Deux Sevres - PS005076,"Bedrooms 4, Sleeps 8, Ratings 2 9.9/10",£595 to £1120 pw
575,Holiday gite in Limousin - UH005788,"Bedrooms 4, Sleeps 8",£945 to £1365 pw
576,Cottage for holiday rental in Limousin - US004536,"Bedrooms 4, Sleeps 12, Ratings 3 9.8/10",£1925 pw
577,"Lovely home and private pool, Charente - PC005983","Bedrooms 3, Sleeps 6, Ratings 9 9.9/10",£900 to £1500 pw
578,Holiday cottage with fishing lake in Livre - LM007577,"Bedrooms 2, Sleeps 6, Ratings 1 10/10",£810 to £940 pw
579,Cottage for holiday rental Lot et Garonne - AT003076,"Bedrooms 2, Sleeps 5, Ratings 1 10/10",£525 to £895 pw
580,Lovely gite to let in Le Neufbourg - NM007109,"Bedrooms 2, Sleeps 6, Ratings 1 7.3/10",£686 pw
581,Holiday house near sea for rental in Brittany - BM003301,"Bedrooms 3, Sleeps 6, Ratings 2 9.8/10",£899 to £1600 pw
582,Holiday let with pool in rural Maine et Loire - LL005165_A,"Bedrooms 6, Sleeps 12",£895 to £1495 pw
583,Picturesque gite to let in Deux Sevres - PS005440,"Bedrooms 3, Sleeps 8, Ratings 3 9.5/10",£1300 pw
584,"Dove Cottage, Cottage with Pool, Deux Sevres - PS002904_B","Bedrooms 3, Sleeps 6",£795 to £1195 pw
585,"Holiday cottage, heated pool, wi-fi, Brittany - BM004777","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£750 to £1650 pw
586,Peaceful cottage to let St Michel-en-Greve - BN005172,"Bedrooms 2, Sleeps 4, Ratings 5 9.8/10",£390 to £590 pw
587,Holiday rental gite close to Buais Normandy - NM001573,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£390 to £490 pw
588,"Stunning Rural Gite in Normandy, Orne - NO003444_A","Bedrooms 4, Sleeps 12, Ratings 3 9.8/10",£1064 to £1270 pw
589,Apartment for holiday let Charente Maritime - PM003292_B,"Bedrooms 5, Sleeps 10",£500 to £1395 pw
590,"Holiday gite, shared pool, Ploerdut, Brittany - BM007121_B","Bedrooms 1, Sleeps 2",£280 to £420 pw
591,Traditional stone house to let in Deux Sevres - PS007770,"Bedrooms 3, Sleeps 6",£600 pw
592,Holiday cottage to rent near Argentat - UO001996,"Bedrooms 1, Sleeps 2",£275 pw
593,Old stone gite with secure garden near Ruffec - PC004825,"Bedrooms 1, Sleeps 2, Ratings 6 9.8/10",£190 to £380 pw
594,Harbour retreat for 2 in Charente Maritime - PM004288,"Bedrooms 1, Sleeps 2, Ratings 13 9.9/10",£684 to £784 pw
595,"Riverside gite to let, shared pool, Dordogne - AD003218_C","Bedrooms 2, Sleeps 5",€500 to €600 pw
596,Holiday let in Perigord near Bergerac - AD004782,"Bedrooms 2, Sleeps 5, Ratings 5 9.8/10",£510 to £600 pw
597,Holiday House for 9 with pool in Charente - PC007272,"Bedrooms 4, Sleeps 9",£550 to £600 pw
598,"Gite to let with pool and lake, Aquitaine - AD007413","Bedrooms 2, Sleeps 5",£250 to £550 pw
599,"Farmhouse to let with private pool, Aquitaine - AD007398","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£650 to £1225 pw
600,Cottage in rural Vendee for rental with pool - LV005728,"Bedrooms 3, Sleeps 5, Ratings 4 10/10",£535 pw
601,"Lovely house with private pool, Aquitaine - AT006019","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£1995 to £2500 pw
602,Holiday rental in Calvados near Lac Dathee - NC004875,"Bedrooms 3, Sleeps 6, Ratings 2 10/10",£625 pw
603,"Holiday gite, shared pool on complex, Brux - PV007702","Bedrooms 2, Sleeps 6",£525 to £875 pw
604,"Spacious farmhouse with pool to let, Charente - PC006316","Bedrooms 5, Sleeps 12, Ratings 2 9.7/10",£1200 to £1500 pw
605,Holiday cottage to rent in Bannalec - BF001457_B,"Bedrooms 1, Sleeps 2",£265 to £310 pw
606,Gite in Limousin for holiday rental - US004409,"Bedrooms 1, Sleeps 2, Ratings 2 10/10",£335 pw
607,"Cosy farmhouse to let, private pool, Dordogne - AD004371","Bedrooms 1, Sleeps 3, Ratings 6 10/10",£600 to £675 pw
608,"Holiday house in a quiet area, close to Arzal - BM007584","Bedrooms 2, Sleeps 4",£429 pw
609,Lovely Gite to let in heart of rural Mayenne - LM004291,"Bedrooms 2, Sleeps 4, Ratings 1 8.3/10",£525 pw
610,"Gite nr beach with shared heated pool, Vendee - LV006407","Bedrooms 2, Sleeps 4",£520 pw
611,Cottage for rent in Mayenne - Sleeps 2 - LM003633_B,"Bedrooms 1, Sleeps 2, Ratings 6 9.5/10",£440 pw
612,Spacious stone farmhouse with heated pool - AT004880,"Bedrooms 3, Sleeps 6, Ratings 6 9.9/10",£895 to £1700 pw
613,Rural holiday Cottage to let Western Loire - LS005850,"Bedrooms 3, Sleeps 6",£770 pw
614,"Luxury 4*house, heated pool Charente Maritime - PM005082_A","Bedrooms 3, Sleeps 6, Ratings 4 10/10",£1150 to £1420 pw
615,Holiday gite with pool near Souillac - ML006866,"Bedrooms 3, Sleeps 6",£380 pw
616,"Large holiday gite with pool, Midi Pyrenees - MT006002","Bedrooms 3, Sleeps 9",£830 to £1465 pw
617,Cottage to let nr to the coast in Brittany - BF007082,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£500 pw
618,"Holiday complex, pool and bar near Lamballe - BN002848_A","Bedrooms 4, Sleeps 8",€1500 to €2600 pw
619,Holiday gite for rent in Brittany - BN001327_B,"Bedrooms 2, Sleeps 7",£330 pw
620,"Large townhouse to let with pool, Limousin - UH007345","Bedrooms 6, Sleeps 12",£1250 to £2000 pw
621,Holiday cottage in Brittany near beaches - BM005437,"Bedrooms 4, Sleeps 8, Ratings 5 7.7/10",£895 pw
622,Large holiday gite with pool near Aurignac - MO005761,"Bedrooms 7, Sleeps 14, Ratings 3 9.5/10",£600 to £1500 pw
623,Gite to let with pool & fishing lake Dordogne - AD003943,"Bedrooms 2, Sleeps 3, Ratings 6 9.8/10",£450 to £700 pw
624,Lovely cottage with shared pool in the Aude - RA006783,"Bedrooms 2, Sleeps 4",£696 pw
625,"Large barn to let with private pool, Dordogne - AD005635_B","Bedrooms 4, Sleeps 8",£599 to £950 pw
626,Holiday house for rental near Mortain Manche - NM002311,"Bedrooms 2, Sleeps 5",£1200 pw
627,18th Century farmhouse to let in Brittany - BI005304,"Bedrooms 5, Sleeps 10, Ratings 2 10/10",£600 to £1100 pw
628,"Holiday gite, shared pool, Ploerdut, Brittany - BM007121_A","Bedrooms 7, Sleeps 14",£280 to £890 pw
629,"Holiday gite with pool, rural Aquitaine - AG005798","Bedrooms 1, Sleeps 3, Ratings 6 10/10",£540 to £715 pw
630,"Converted barn & pool to let, Dordogne - AD004212","Bedrooms 3, Sleeps 7, Ratings 1 10/10",£775 to £1500 pw
631,"3 Bed Gite to let with pool, Aquitaine - AT007462","Bedrooms 3, Sleeps 6",£650 to £1100 pw
632,Holiday cottage to rent near Josselin - BM004081,"Bedrooms 1, Sleeps 2",£352 to £402 pw
633,Holiday gite with pool in the Loire Valley - VC004437,"Bedrooms 1, Sleeps 6, Ratings 13 10/10",£310 to £460 pw
634,Holiday cottage in Brittany with shared pool - BM006793,"Bedrooms 3, Sleeps 8",£410 pw
635,Holiday Gite in rural Deux Sevres with pool - PS007235,"Bedrooms 2, Sleeps 4, Ratings 2 9.6/10",£465 pw
636,Restored Gite to let with pool nr Saumur - LL006245,"Bedrooms 2, Sleeps 4",£620 to £730 pw
637,Tranquil barn for holidays in Aquitaine - AT007354,"Bedrooms 4, Sleeps 8, Ratings 4 10/10",£1200 to £1650 pw
638,One of 7 Holiday cottages nr Chalais to rent - PC002350_A,"Bedrooms 3, Sleeps 6, Ratings 3 9.8/10",£565 to £749 pw
639,"Holiday gite in Brittany, heated shared pool - BI003636_A","Bedrooms 1, Sleeps 2, Ratings 4 9.9/10",£320 to £435 pw
640,Lovely holiday cottage in rural Normandy - NM004523,"Bedrooms 4, Sleeps 7, Ratings 7 9.8/10",£449 to £699 pw
641,"Farmhouse to let with private pool, Dordogne - AD007676","Bedrooms 4, Sleeps 9",£1610 pw
642,"Family friendly gite to let with pool, Brux - PV007709","Bedrooms 2, Sleeps 4",£475 to £825 pw
643,Holiday rental & pool nr St Jean-d'Angély - PM000398_C,"Bedrooms 3, Sleeps 9",£950 pw
644,Lovely gite to let in rural village in Vienne - PV006791,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£650 to £800 pw
645,"Large farmhouse with pool to let, Dordogne - AD006738","Bedrooms 4, Sleeps 10",£850 to £2000 pw
646,"Charming canal side holiday cottage, Brittany - BN006734","Bedrooms 1, Sleeps 2",£400 to £470 pw
647,Pretty Gite for 2 to rent in rural Vendee - LV006416,"Bedrooms 1, Sleeps 2",£635 to £815 pw
648,"Stone cottage to let, views & pool, Aquitaine - AD007476_B","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£530 to £650 pw
649,Large Manor House and pool to let in Charente - PC007268,"Bedrooms 5, Sleeps 10",£2996 to £3325 pw
650,Large holiday farmhouses with pool nr Le Lude - LS005060,"Bedrooms 8, Sleeps 18, Ratings 10 9.5/10",£1600 to £3540 pw
651,"Holiday gite in Brittany, heated shared pool - BI003636_B","Bedrooms 1, Sleeps 3",£350 to £400 pw
652,Stone house for rental in Mayenne - LM003932,"Bedrooms 5, Sleeps 12, Ratings 3 7.5/10",£1200 pw
653,"Holiday cottage in Briquebec town, Normandy - NM006264","Bedrooms 2, Sleeps 4, Ratings 5 9/10",£275 to £395 pw
654,Family friendly cottage to let in Charente - PC005362,"Bedrooms 2, Sleeps 5, Ratings 2 9.8/10",£900 pw
655,"Cottage to let with pool and views, Aquitaine - AP007392","Bedrooms 2, Sleeps 4",£385 to £980 pw
656,Holiday gite for 2 in rural Mayenne - LM005296_A,"Bedrooms 1, Sleeps 2, Ratings 14 9.9/10",€517 to €737 pw
657,"Holiday farmhouse, walk to St Jean de Cole - AD004519","Bedrooms 2, Sleeps 4, Ratings 8 9.8/10",£525 to £730 pw
658,Holiday house next to Canal du Midi Languedoc - RA005470,"Bedrooms 4, Sleeps 8, Ratings 1 9.5/10",£1350 to £2550 pw
659,Holiday house to rent in Brittany - BF002650,"Bedrooms 3, Sleeps 8",£400 to £800 pw
660,"Holiday gites with pool for rental, Dordogne - AD000161_H","Bedrooms 3, Sleeps 6",£450 to £990 pw
661,"Holiday home & pool, short walk to Les Eyzies - AD006142","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£530 to £1270 pw
662,"Holiday house in a quiet area, close to Arzal - BM007584","Bedrooms 2, Sleeps 4",£429 pw
663,"Holiday Gite to let in rural Mayenne, Loire - LM005947_A","Bedrooms 3, Sleeps 6, Ratings 2 9.8/10",£375 to £800 pw
664,Family holiday home in Dordogne manor grounds - AD005310,"Bedrooms 4, Sleeps 7, Ratings 5 10/10",£791 pw
665,"Holiday gite complex, shared pool, Brittany - BN006697_C","Bedrooms 3, Sleeps 7",£455 to £775 pw
666,House with shared pool for rental Soreze 3km - MT002148_B,"Bedrooms 2, Sleeps 5",£580 pw
667,Gite to let Grandcamp-Maisy nr D-Day Beaches - NC006156,"Bedrooms 3, Sleeps 5, Ratings 5 9.9/10",€500 pw
668,Lakeside Cottage to let in the Western Loire - LM007216,"Bedrooms 2, Sleeps 4",£505 to £550 pw
669,"Large gite & private pool to let, Aquitaine - AT007679","Bedrooms 6, Sleeps 14",£2060 pw
670,Holiday gite for 4 in rural Mayenne - LM005296_B,"Bedrooms 2, Sleeps 4, Ratings 10 9.9/10",€560 to €847 pw
671,Holiday gite in Brittany with private pool - BM007491,"Bedrooms 4, Sleeps 7",£1400 to £1800 pw
672,Holiday let in Indre et Loire - VI004413,"Bedrooms 2, Sleeps 6",£700 pw
673,South Brittany holiday let with private pool - LA003863,"Bedrooms 7, Sleeps 12, Ratings 8 9.7/10",£2200 to £2950 pw
674,Holiday Gite with private pool in Vendee - LV006067,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£450 to £950 pw
675,Gite for 6 with pool for rental Western Loire - LL006980,"Bedrooms 3, Sleeps 6, Ratings 1 9.2/10",£300 to £500 pw
676,Family gite to let on complex nr La Rochelle - PM005762,"Bedrooms 2, Sleeps 5",£300 to £900 pw
677,"Holiday cottage, shared pool to let Pont-Aven - BF002047_A","Bedrooms 1, Sleeps 2, Ratings 11 9.8/10",£295 to £550 pw
678,Gite for holiday rental in Brittany - BF003071,"Bedrooms 2, Sleeps 5, Ratings 6 9.3/10",£325 to £565 pw
679,Holiday house in Brittany - BM007376,"Bedrooms 4, Sleeps 8",£450 to £850 pw
680,Holiday cottage for 4 near Orthez - AP006575,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£350 to £840 pw
681,Holiday gite rental in Vendee village - LV001977_B,"Bedrooms 4, Sleeps 13",£320 to £650 pw
682,"Holiday rental, quiet setting Benodet 6km - BF000361_A","Bedrooms 7, Sleeps 14, Ratings 10 9.3/10",£375 to £625 pw
683,"Holiday rental, sandy beach 120m, Brittany - BM007364_C","Bedrooms 7, Sleeps 16",£440 to £880 pw
684,Pretty holiday cottage to let in Brittany - BM005126,"Bedrooms 2, Sleeps 6, Ratings 2 10/10",£450 to £700 pw
685,Lovely holiday let with a pool in Macqueville - PM007707,"Bedrooms 6, Sleeps 12",£700 to £2800 pw
686,Holiday let with pool in rural Western Loire - LL005072_A,"Bedrooms 13, Sleeps 31, Ratings 2 9.7/10",€495 to €1165 pw
687,Cottage to let in Aquitaine with lake - AT004390,"Bedrooms 2, Sleeps 5",£695 to £825 pw
688,Modern stone holiday cottage to let Charente - PC007207,"Bedrooms 2, Sleeps 4, Ratings 1 9.5/10",£1600 to £1800 pw
689,"Restored Farmhouse & pool to let, Deux Sevres - PS007429","Bedrooms 3, Sleeps 6",£850 pw
690,Restored House to let for 4 in Loire Valley - VC006801,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£900 pw
691,Holiday cottage & pool Brittany - BF000872_C,"Bedrooms 3, Sleeps 7",£419 to £875 pw
692,"Holiday Cottage to let with pool, Mayenne - LM006760_A","Bedrooms 7, Sleeps 15, Ratings 1 10/10",€490 to €630 pw
693,"Holiday gite, shared pool on complex, Brux - PV007702","Bedrooms 2, Sleeps 6",£525 to £875 pw
694,Gite rental with pool in Aquitaine - AD004061,"Bedrooms 3, Sleeps 7, Ratings 3 10/10",£450 to £775 pw
695,"2 Bed Gite to let with heated pool, Aquitaine - AD007225","Bedrooms 2, Sleeps 5",£1300 pw
696,"Beautiful gite with shared pool to let, Aude - RA006797","Bedrooms 2, Sleeps 4",£735 pw
697,"Large house & pool to let, Chassenon Charente - PC007414","Bedrooms 4, Sleeps 10",£995 to £1999 pw
698,Restored Barn to let in Normandy Calvados - NC003452,"Bedrooms 3, Sleeps 6, Ratings 8 9.7/10",£795 to £895 pw
699,Holiday Gite with private pool near Castelnau - MT005848,"Bedrooms 1, Sleeps 2, Ratings 3 9.8/10",£550 to £650 pw
700,"Rural Gite for 2 & shared pool to let, Loire - LM006104","Bedrooms 1, Sleeps 2",£550 to £600 pw
701,"Rural holiday cottage, Caurel, North Brittany - BN006303","Bedrooms 3, Sleeps 6, Ratings 1 3.7/10",£684 pw
702,Family friendly gite for holidays near Civray - PV004809,"Bedrooms 4, Sleeps 10, Ratings 4 10/10",£649 to £1799 pw
703,"Character gite to let, rural Normandy village - NE005489","Bedrooms 2, Sleeps 4, Ratings 4 9.3/10",£600 pw
704,Gite for rental overlooking Medieval Dinan - BN005484,"Bedrooms 2, Sleeps 4, Ratings 5 9.5/10",£500 to £580 pw
705,Beautiful stone house in Charente Maritime - PM006532,"Bedrooms 4, Sleeps 9, Ratings 3 9.9/10",£900 to £1650 pw
706,"Large holiday farmhouse with pool, Aquitaine - AD003584","Bedrooms 3, Sleeps 6, Ratings 1 9.2/10",£695 to £750 pw
707,Cottage to let in beautiful Sarthe - LS007561,"Bedrooms 5, Sleeps 10",£1920 to £2160 pw
708,Cottage for holiday rental in Limousin - US004536,"Bedrooms 4, Sleeps 12, Ratings 3 9.8/10",£1925 pw
709,Holiday gite in Normandy near St Mere Eglise - NM006337,"Bedrooms 1, Sleeps 4, Ratings 2 10/10",£365 to £450 pw
710,Holiday gite for rent in Brittany - BN001327_B,"Bedrooms 2, Sleeps 7",£330 pw
711,Holiday let in gite complex near Carlux - AD004978,"Bedrooms 1, Sleeps 4",£360 to £600 pw
712,Lovely family fishing gite to let in Charente - PC005108,"Bedrooms 3, Sleeps 8, Ratings 7 9.7/10",£545 to £1295 pw
713,Holiday villa in Provence with private pool - CV006583,"Bedrooms 3, Sleeps 6",£800 to £1500 pw
714,Beautiful gite to let in Charente Maritime - PM006858,"Bedrooms 1, Sleeps 2, Ratings 3 10/10",£455 to £490 pw
715,Three gites for holiday rental in Souvigne - PS001609_C,"Bedrooms 2, Sleeps 4",£315 pw
716,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_C,"Bedrooms 4, Sleeps 8, Ratings 1 10/10",£385 to £745 pw
717,"Holiday house, Gorron 3km, own lake & forest - LM003196","Bedrooms 2, Sleeps 4, Ratings 8 10/10",£475 to £590 pw
